Country,City,Population
UK,London,10558797
UK,Manchester,2720316
UK,Birmingham,2590363
UK,Leeds,1860546
UK,Glasgow,1026880
UK,Liverpool,891211
UK,Southampton,888145
UK,Newcastle,790636
Ireland,Dublin,1187176
Ireland,Cork,222526
Ireland,Limerick,102287
Ireland,Galway,85910
Ireland,Waterford,60079
Ireland,Drogheda,44135
Ireland,Dundalk,43112
Ireland,Swords,40776
Iceland,Reykjavík,239733
Iceland,Keflavík og Njarðvík,21847
Iceland,Akureyri,19847
Iceland,Selfoss,9871
Iceland,Akranes,8159
Iceland,Vestmannaeyjar,4444
Iceland,Grindavík,3575
Iceland,Hveragerði,3277
Norway,Oslo,1082575
Norway,Bergen,269548
Norway,Stavanger,234757
Norway,Trondheim,196948
Norway,Drammen,122955
Norway,Fredrikstad,120332
Norway,Skien,95763
Norway,Kristiansand,66576
Sweden,Stockholm,1767108
Sweden,Göteborg,655429
Sweden,Malmö,325069
Sweden,Uppsala,168760
Sweden,Västerås,128660
Sweden,Örebro,126604
Sweden,Linköping,119016
Sweden,Helsingborg,113828
Finland,Helsinki,1360011
Finland,Tampere,359306
Finland,Turku,286957
Finland,Oulu,212738
Finland,Jyväskylä,132962
Finland,Lahti,119933
Finland,Kuopio,95122
Finland,Pori,82956
Denmark,København,1378649
Denmark,Aarhus,295688
Denmark,Odense,183763
Denmark,Aalborg,120700
Denmark,Esbjerg,71505
Denmark,Randers,64158
Denmark,Horsens,63903
Denmark,Kolding,62444
Germany,Ruhr,5593000
Germany,Cologne-Dusseldorf,4903700
Germany,Berlin,4679500
Germany,Rhein-Main,3210500
Germany,Hamburg,2842100
Germany,Stuttgart,2351400
Germany,Munich,2230600
Germany,Rhein-Neckar,1554100
France,Paris,10896433
France,Lyon,1702921
France,Marseille,1625845
France,Toulouse,1063235
France,Lille,1058439
France,Bordeaux,1008509
France,Nice,962697
France,Nantes,677080
Italy,Roma,2754719
Italy,Milano,1371850
Italy,Napoli,911697
Italy,Torino,846926
Italy,Palermo,628894
Italy,Genova,561947
Italy,Bologna,390518
Italy,Firenze,363837
Switzerland,Zürich,433989
Switzerland,Genève,206635
Switzerland,Basel,176329
Switzerland,Lausanne,144160
Switzerland,Bern,136988
Switzerland,Winterthur,119315
Switzerland,Luzern,85534
Switzerland,St. Gallen,78213
Netherlands,Amsterdam,1136210
Netherlands,Rotterdam,868135
Netherlands,'s-Gravenhage,851010
Netherlands,Utrecht,396315
Netherlands,Eindhoven,320365
Netherlands,Leiden,273720
Netherlands,Dordrecht,224440
Netherlands,Tilburg,218130
Belgium,Bruxelles,1884358
Belgium,Antwerpen,908035
Belgium,Liège,502989
Belgium,Gent,385994
Belgium,Charleroi,292789
Belgium,Mons,194583
Belgium,Kortrijk,155965
Belgium,Leuven,127016
Spain,Madrid,6475380
Spain,Barcelona,4713029
Spain,València,1753094
Spain,Sevilla,1235082
Spain,Bilbao,872186
Spain,Málaga,838662
Spain,Zaragoza,736649
Spain,Murcia,620564
Portugal,Lisboa,545796
Portugal,Vila Nova de Gaia,303824
Portugal,Porto,231800
Portugal,Braga,175834
Portugal,Matosinhos,172557
Portugal,Amadora,171454
Portugal,Maia,131372
Portugal,Guimarães,118346
Austria,Wien,2339538
Austria,Graz,364512
Austria,Linz,278592
Austria,Salzburg,234239
Austria,Innsbruck,232569
Austria,Bregenz,171214
Austria,Klagenfurt,118983
Austria,Feldkirch,118278
Russia,Moskva,13010112
Russia,Sankt-Peterburg,5601911
Russia,Novosibirsk,1633595
Russia,Jekaterinburg,1544376
Russia,Kazan',1308660
Russia,Nižnij Novgorod,1226076
Russia,Čeljabinsk,1189525
Russia,Krasnojarsk,1187771
Ukraine,Kyïv,2952301
Ukraine,Charkiv,1421125
Ukraine,Odesa,1010537
Ukraine,Dnipro,968502
Ukraine,Donec'k,901645
Ukraine,L'viv,717273
Ukraine,Zaporižžja,710052
Ukraine,Kryvyj Rih,603904
Belarus,Minsk,1995471
Belarus,Homieĺ,501802
Belarus,Viciebsk,359148
Belarus,Hrodna,358717
Belarus,Mahiloǔ,353338
Belarus,Brest,342461
Belarus,Babrujsk,208611
Belarus,Baranavičy,172150
Poland,Warszawa,1861599
Poland,Kraków,806201
Poland,Wrocław,673743
Poland,Łódź,652015
Poland,Poznań,538439
Poland,Gdańsk,487371
Poland,Szczecin,389066
Poland,Lublin,329565
Lithuania,Vilnius,592156
Lithuania,Kaunas,304210
Lithuania,Klaipėda,159403
Lithuania,Šiauliai,110463
Lithuania,Panevėžys,86606
Lithuania,Alytus,51353
Lithuania,Marijampolė,36704
