Province,City,Population
Anhui,合肥市,5055978
Anhui,芜湖市,1598165
Anhui,淮南市,1255619
Anhui,阜阳市,1191810
Anhui,蚌埠市,1077704
Anhui,六安市,1069940
Anhui,宿州市,920722
Anhui,淮北市,830891
Anhui,马鞍山市,784608
Anhui,亳州市,750569
Anhui,安庆市,728501
Anhui,滁州市,648861
Anhui,铜陵市,626040
Anhui,太和县,614876
Anhui,肥西县,612477
Anhui,肥东县,601520
Anhui,临泉县,505006
Anhui,巢湖市,492952
Anhui,蒙城县,480168
Anhui,颍上县,475233
Anhui,庐江县,475100
Anhui,长丰县,471250
Anhui,涡阳县,447959
Anhui,利辛县,444796
Anhui,宣城市,442841
Anhui,濉溪县,433211
Anhui,天长市,433085
Anhui,黄山市,418990
Anhui,池州市,417336
Anhui,无为市,417265
Anhui,桐城市,398423
Anhui,萧县,374732
Anhui,砀山县,373965
Anhui,寿县,359700
Anhui,灵璧县,354086
Anhui,怀远县,347234
Anhui,阜南县,346564
Anhui,霍邱县,334257
Anhui,舒城县,319456
Anhui,凤阳县,315375
Anhui,广德县,314649
Anhui,界首市,308493
Anhui,泗县,306522
Anhui,定远县,303835
Anhui,当涂县,281650
Anhui,宁国市,272705
Anhui,明光市,269573
Anhui,全椒县,256177
Anhui,宿松县,245326
Anhui,枞阳县,241942
Anhui,湾沚区,241358
Anhui,怀宁县,241120
Anhui,来安县,238798
Anhui,潜山市,238099
Anhui,凤台县,237410
Anhui,五河县,233023
Anhui,南陵县,232557
Anhui,东至县,221424
Anhui,金寨县,208351
Anhui,和县,205671
Anhui,霍山县,198342
Anhui,郎溪县,197399
Anhui,含山县,187909
Anhui,太湖县,176506
Anhui,歙县,161253
Anhui,望江县,160313
Anhui,固镇县,157596
Anhui,繁昌县,146003
Anhui,泾县,145568
Anhui,青阳县,128607
Anhui,岳西县,124212
Anhui,休宁县,88754
Anhui,博望区,88712
Anhui,绩溪县,82619
Anhui,祁门县,74438
Beijing,北京市,18960744
Beijing,延庆区,205689
Chongqing,重庆市,9580819
Chongqing,万州区,1078149
Chongqing,江津区,817888
Chongqing,永川区,803458
Chongqing,涪陵区,801151
Chongqing,合川区,795780
Chongqing,开州区,608485
Chongqing,璧山区,535680
Chongqing,大足区,505131
Chongqing,綦江区,500510
Chongqing,云阳县,491309
Chongqing,长寿区,484331
Chongqing,铜梁区,423008
Chongqing,潼南区,401323
Chongqing,荣昌区,400527
Chongqing,奉节县,368869
Chongqing,南川区,348987
Chongqing,忠县,348004
Chongqing,梁平区,323483
Chongqing,垫江县,320460
Chongqing,黔江区,288462
Chongqing,丰都县,274294
Chongqing,酉阳土家族苗族自治县,256260
Chongqing,彭水苗族土家族自治县,256007
Chongqing,石柱土家族自治县,225190
Chongqing,秀山土家族苗族自治县,224955
Chongqing,巫山县,200671
Chongqing,万盛经济技术开发区,187007
Chongqing,武隆区,175838
Chongqing,巫溪县,156732
Chongqing,城口县,81260
Fujian,厦门市,4617251
Fujian,福州市,3723454
Fujian,漳州市,1565071
Fujian,莆田市,1539389
Fujian,泉州市,1469157
Fujian,晋江市,1416151
Fujian,南安市,936897
Fujian,福清市,744774
Fujian,龙岩市,722334
Fujian,闽侯县,593963
Fujian,石狮市,589902
Fujian,惠安县,584053
Fujian,安溪县,498061
Fujian,仙游县,473860
Fujian,漳浦县,466953
Fujian,宁德市,425499
Fujian,福安市,397068
Fujian,三明市,378423
Fujian,福鼎市,351341
Fujian,南平市,327596
Fujian,连江县,323972
Fujian,霞浦县,289598
Fujian,德化县,259496
Fujian,永春县,258934
Fujian,诏安县,255173
Fujian,永安市,248425
Fujian,建瓯市,226100
Fujian,云霄县,223883
Fujian,邵武市,217836
Fujian,平和县,215480
Fujian,长汀县,212617
Fujian,建阳区,209876
Fujian,平潭县,207444
Fujian,上杭县,193718
Fujian,罗源县,182607
Fujian,沙县区,176226
Fujian,尤溪县,166631
Fujian,永定区,163947
Fujian,大田县,162066
Fujian,南靖县,162029
Fujian,古田县,160506
Fujian,武夷山市,159308
Fujian,武平县,147995
Fujian,漳平市,147462
Fujian,浦城县,143301
Fujian,东山县,141511
Fujian,宁化县,126219
Fujian,连城县,124550
Fujian,永泰县,121768
Fujian,闽清县,112260
Fujian,政和县,93025
Fujian,顺昌县,92001
Fujian,寿宁县,88595
Fujian,将乐县,85175
Fujian,周宁县,78954
Fujian,华安县,71401
Gansu,兰州市,3012577
Gansu,天水市,752900
Gansu,武威市,467726
Gansu,平凉市,332399
Gansu,酒泉市,327492
Gansu,庆阳市,318298
Gansu,临夏市,315082
Gansu,白银市,306599
Gansu,嘉峪关市,295257
Gansu,张掖市,278092
Gansu,陇南市,243502
Gansu,金昌市,237927
Gansu,榆中县,233289
Gansu,定西市,222386
Gansu,陇西县,219132
Gansu,临洮县,188693
Gansu,甘谷县,183768
Gansu,兰州新区,167044
Gansu,平川区,147724
Gansu,靖远县,147185
Gansu,会宁县,141900
Gansu,秦安县,140593
Gansu,永登县,138883
Gansu,武山县,130600
Gansu,敦煌市,129853
Gansu,礼县,128219
Gansu,成县,121129
Gansu,岷县,115495
Gansu,静宁县,112976
Gansu,景泰县,111860
Gansu,华亭市,110695
Gansu,环县,110333
Gansu,宁县,108778
Gansu,镇原县,104689
Gansu,永昌县,101084
Gansu,西和县,97876
Gansu,庆城县,95391
Gansu,庄浪县,95390
Gansu,永靖县,94847
Gansu,民乐县,89881
Gansu,广河县,89677
Gansu,通渭县,87686
Gansu,玉门市,87544
Gansu,泾川县,86982
Gansu,山丹县,82687
Gansu,古浪县,79337
Gansu,徽县,79190
