State,City,Population
Alabama,Birmingham,774956
Alabama,Huntsville,329066
Alabama,Mobile,321907
Alabama,Montgomery,254348
Alabama,Tuscaloosa,156450
Alabama,Auburn,100842
Alabama,Florence,78925
Alabama,Anniston - Oxford,78302
Alabama,Fairhope - Daphne,76807
Alaska,Anchorage,249252
Alaska,Fairbanks (incl. Eielson AFB),71396
Alaska,Wasilla - Knik-Fairview - North Lakes,53444
Alaska,Anchorage Northeast,29561
Alaska,Juneau,24756
Alaska,Ketchikan,11975
Alaska,Kodiak - Mill Bay,9530
Alaska,Kenai,8642
Alaska,Sitka,7668
Arizona,Phoenix - Mesa - Scottsdale,3976313
Arizona,Tucson,875441
Arizona,Phoenix West - Goodyear - Avondale,419946
Arizona,Yuma,135717
Arizona,Prescott - Prescott Valley,92427
Arizona,Flagstaff,79842
Arizona,Lake Havasu City,59017
Arizona,Maricopa,57771
Arizona,Bullhead City,54396
Arkansas,Little Rock,461864
Arkansas,Fayetteville - Springdale - Rogers,355002
Arkansas,Fort Smith,120230
Arkansas,Memphis,105619
Arkansas,Texarkana,78744
Arkansas,Jonesboro,73781
Arkansas,Conway,66619
Arkansas,Hot Springs,59133
Arkansas,Pine Bluff,46683
California,Los Angeles - Long Beach - Anaheim,12237376
California,San Francisco - Oakland,3269385
California,San Diego,3070300
California,Riverside - San Bernardino,2276703
California,Sacramento,1946618
California,San Jose,1837446
California,Fresno,717589
California,Mission Viejo - Lake Forest - Laguna Niguel,646843
California,Bakersfield,570235
Colorado,Denver - Aurora,2686147
Colorado,Colorado Springs,632494
Colorado,Fort Collins,326332
Colorado,Greeley,137222
Colorado,Grand Junction,135973
Colorado,Boulder,120828
Colorado,Pueblo,120642
Colorado,Longmont,100776
Colorado,Lafayette - Erie - Louisville,96485
Connecticut,Hartford,977158
Connecticut,Bridgeport - Stamford,824767
Connecticut,New Haven,561456
Connecticut,Waterbury,199317
Connecticut,Norwich - New London,167432
Connecticut,Danbury,146928
Connecticut,Springfield,44215
Connecticut,Torrington,35212
Connecticut,Worcester,24104
Delaware,Philadelphia (incl. Pottstown),170884
Delaware,Dover,123101
Delaware,Salisbury,78075
Delaware,Middletown,41851
Delaware,Lewes - Rehoboth Beach,39681
Delaware,Ocean Pines - Ocean City,37946
Delaware,Seaford - Laurel - Bridgeville,29147
Delaware,Long Neck,20169
Delaware,Ocean View,18025
Florida,Miami - Fort Lauderdale,6077522
Florida,Tampa - St. Petersburg,2783045
Florida,Orlando,1853896
Florida,Jacksonville,1247374
Florida,Bradenton - Sarasota - Venice,779075
Florida,Cape Coral,599242
Florida,Palm Bay - Melbourne,510675
Florida,Port St. Lucie,437745
Florida,Bonita Springs - Estero,425675
Georgia,Atlanta,4999259
Georgia,Augusta (Richmond County),345184
Georgia,Savannah,309466
Georgia,Columbus,200809
Georgia,Gainesville,265218
Georgia,Athens (Clarke County),143213
Georgia,Warner Robins,141132
Georgia,Macon,140111
Georgia,Albany,85960
Hawaii,Honolulu,853252
Hawaii,Kailua - Kaneohe (in: Honolulu County),118092
Hawaii,Kahului - Wailuku,57905
Hawaii,Hilo,41410
Hawaii,Kailua - Holualoa (in: Hawaii County),33024
Hawaii,Kihei,26878
Hawaii,Pukalani - Haiku-Pauwela - Makawao,23305
Hawaii,Lahaina - Napili-Honokowai,21398
