Country,Top_Partner,Top_Importer,Top_Exporter,Most_Deficit,Most_Surplus
Sudan,China,China,China,EU,China
Hong Kong,China,China,China,EU,China
Myanmar,China,China,China,EU,China
Timor-Leste,China,China,China,EU,China
Bolivia,China,China,China,EU,China
Benin,China,China,China,USA,China
Djibouti,China,China,China,USA,China
Rwanda,China,China,China,USA,China
Afghanistan,China,China,China,USA,China
Indonesia,China,China,China,USA,China
Iran,China,China,China,USA,China
Macau,China,China,China,USA,China
Malaysia,China,China,China,USA,China
Philippines,China,China,China,USA,China
Singapore,China,China,China,USA,China
South Korea,China,China,China,USA,China
Tajikistan,China,China,China,USA,China
United Arab Emirates,China,China,China,USA,China
Uzbekistan,China,China,China,USA,China
Vanuatu,China,China,China,USA,China
Mozambique,China,EU,China,EU,China
Uganda,China,EU,China,EU,China
Bhutan,China,EU,China,EU,China
Kazakhstan,China,EU,China,EU,China
Pakistan,China,EU,China,EU,China
Nauru,China,EU,China,EU,China
Paraguay,China,EU,China,EU,China
Comoros,China,EU,China,USA,China
Ethiopia,China,EU,China,USA,China
Ghana,China,EU,China,USA,China
Kenya,China,EU,China,USA,China
Liberia,China,EU,China,USA,China
Senegal,China,EU,China,USA,China
Somalia,China,EU,China,USA,China
Tanzania,China,EU,China,USA,China
Togo,China,EU,China,USA,China
Kyrgyzstan,China,EU,China,USA,China
Maldives,China,EU,China,USA,China
Yemen,China,EU,China,USA,China
Marshall Islands,China,EU,China,USA,China
Tuvalu,China,EU,China,USA,China
Argentina,China,EU,China,USA,China
Samoa,China,USA,China,EU,China
Tonga,China,USA,China,EU,China
Cambodia,China,USA,China,USA,China
Japan,China,USA,China,USA,China
Jordan,China,USA,China,USA,China
Nepal,China,USA,China,USA,China
Thailand,China,USA,China,USA,China
Vietnam,China,USA,China,USA,China
Fiji,China,USA,China,USA,China
Kiribati,China,USA,China,USA,China
Cameroon,EU,EU,China,EU,China
Eswatini,EU,EU,China,EU,China
Lesotho,EU,EU,China,EU,China
Malawi,EU,EU,China,EU,China
Niger,EU,EU,China,EU,China
Nigeria,EU,EU,China,EU,China
Azerbaijan,EU,EU,China,EU,China
Bangladesh,EU,EU,China,EU,China
Burundi,EU,EU,China,USA,China
India,EU,EU,China,USA,China
Sri Lanka,EU,EU,China,USA,China
Syria,EU,EU,China,USA,China
Norfolk Island,USA,USA,China,USA,China
Venezuela,USA,USA,China,USA,China
Algeria,EU,EU,EU,EU,China
Botswana,EU,EU,EU,EU,China
Cote d'Ivoire,EU,EU,EU,EU,China
Libya,EU,EU,EU,EU,China
Tunisia,EU,EU,EU,EU,China
North Macedonia,EU,EU,EU,EU,China
Norway,EU,EU,EU,EU,China
Egypt,EU,EU,EU,USA,China
Madagascar,EU,EU,EU,USA,China
Mauritius,EU,EU,EU,USA,China
Bahrain,EU,EU,EU,USA,China
Turkey,EU,EU,EU,USA,China
Iceland,EU,EU,EU,USA,China
Israel,EU,USA,EU,USA,China
Guyana,EU,EU,USA,EU,China
Costa Rica,USA,USA,USA,EU,China
El Salvador,USA,USA,USA,EU,China
Guatemala,USA,USA,USA,EU,China
Haiti,USA,USA,USA,EU,China
